,,Model,F_NET,R_TOA,Q_OCN,R_NET,OLR,ASR_TOA,LHF,SHF,PW,Precip.,LWP,IWP,clwvi_avg,Lapse Rate
0,P,CAM5-GCM,0.04,74.08,74.04,-68.53,239.31,313.39,57.55,11.02,20.2,2,0.018,0.011,0.029,-8.14
1,P,CAM6-GCM,0,88.54,88.54,-62.37,239.16,327.7,49.69,12.68,19.7,1.7,0.012,0.015,0.027,-7.97
2,E,CM1,-3.89,110.76,114.64,-75.23,239.35,350.1,62.62,8.73,27.8,2.3,0.04,0.111,0.151,-7.97
3,E,CM1-VER,-6.01,109.48,115.49,-77.26,242.13,351.6,63.07,8.18,27.3,2.3,0.037,0.113,0.15,-7.87
4,E,CM1-LES,-6.09,109.27,115.37,-75.87,237.67,346.94,62.09,7.68,28.5,2.2,0.04,0.103,0.143,-7.97
5,P,CNRM-CM6,1.4,66.8,65.41,-56.64,207.95,274.75,46.15,11.89,24.6,1.6,0.036,0.023,0.059,-8.27
6,E,DALES,-5.37,107.45,112.82,-82.25,249.7,357.15,66.21,10.67,24,4.1,0.008,0.004,0.012,-7.87
7,E,DALES-VER,1.15,107.29,106.14,-86.48,246.95,354.24,80.03,7.6,30.2,4.8,0.012,0.01,0.022,-7.61
8,E,DALES-LES,11.28,111.77,100.49,-80.52,247.8,359.56,80.23,11.57,26.6,4.6,0.012,0.014,0.026,-7.8
9,E,DALES-damping,-5.05,107.16,112.21,-82.33,249.61,356.77,66.57,10.71,24,4.1,0.008,0.004,0.012,-7.87
10,E,DALES-damping-VER,-4.24,114.11,118.34,-74.76,249.7,363.8,60.66,9.86,21.5,3.8,0.005,0.005,0.01,-7.95
11,E,DAM,4.57,109.68,105.11,-68.27,241.19,350.87,61.17,11.67,26.6,2.1,0.023,0.014,0.037,-7.89
12,P,GEOS-GCM,-1.36,92.45,93.81,-50.1,210.48,302.93,42.91,5.83,24.8,1.5,0.062,0.035,0.097,-7.61
13,E,ICON-LEM-CRM,4.53,118.36,113.84,-52.18,218,336.36,47.77,8.93,26,1.7,0.032,0.021,0.053,-7.65
14,E,ICON-LEM-VER,4.23,117.5,113.27,-57.21,222.26,339.76,52.76,8.68,25.4,1.8,0.004,0.021,0.024,-7.57
15,E,ICON-LEM-LES,5.62,118.28,112.66,-50.96,211.82,330.09,48.81,7.76,29.1,1.7,0.012,0.028,0.04,-7.65
16,E,ICON-NWP-CRM,3.91,116.23,112.32,-41.94,215.91,332.15,37.55,8.31,19.9,1.3,0.02,0.028,0.048,-7.93
17,E,MESONH,-1.15,112.17,113.33,-58.57,219.32,331.5,48.68,8.73,26,1.3,0.01,0.037,0.047,-8.51
18,E,MESONH-VER,-2.24,110.84,113.08,-58.79,218.78,329.62,47.95,8.59,26.4,1.4,0.011,0.036,0.047,-8.1
19,E,MESONH-LES,0.24,108.81,108.57,-58.01,221.31,330.12,49.72,8.54,25.2,1.3,0.008,0.036,0.044,-6.11
20,E,MicroHH,-4.09,111.34,115.43,-55.4,239.91,351.26,49.13,2.19,29,2.3,0,0.008,0.008,-7.59
21,E,MicroHH-VER,0.34,114.08,113.75,-53.44,235.09,349.18,51.68,2.09,31.7,3.1,0.011,0.01,0.021,-7.44
22,E,MicroHH-LES,-4.89,116.29,121.19,-50.66,231.24,347.54,45.14,0.63,31.5,1.7,0.012,0.012,0.023,-7.63
23,E,MPAS,15.11,92.63,77.52,-71.24,257.58,350.21,72.36,13.99,17.8,2.5,0.028,0.099,0.127,-8.27
24,E,SAM-CRM,3.25,107.39,104.14,-71.27,230.68,338.07,64.08,10.44,27,2.2,0.033,0.046,0.079,-7.98
25,E,SAM-CRM-VER,4.14,110.01,105.87,-78.72,242.16,352.18,71.84,11.02,26.5,2.5,0.024,0.041,0.066,-7.89
26,E,SAM-CRM-LES,15.15,115.48,100.33,-64.85,227.27,342.75,68.95,11.05,26.9,2.4,0.018,0.046,0.064,-7.98
27,E,SCALE,3.7,110.85,107.15,-75.77,246,356.85,66.32,13.15,22.4,2.3,0.023,0.059,0.082,-8.21
28,E,UCLA-CRM,-7.14,97.83,104.96,-102.01,250.59,348.41,83.3,11.57,24,2.6,0.021,0.064,0.085,-7.05
29,P,UKMO-GA7.1,0.55,126.32,125.77,-57.08,216.16,342.47,52.39,5.23,NaN,1.8,0.016,0.013,0.028,-7.94
30,E,UKMO-CASIM,-0.4,98.43,98.83,-84.63,252.54,350.97,74.73,9.5,26.7,2.6,0.007,0.097,0.104,-7.69
31,E,UKMO-RA1-T-hrad,-2.53,99.8,102.33,-77.23,248.37,348.17,69.26,5.44,22.8,2.4,0.006,0.052,0.058,-7.91
