,,Model,F_NET,R_TOA,Q_OCN,R_NET,OLR,ASR_TOA,LHF,SHF,PW,Precip.,LWP,IWP,clwvi_avg,Lapse Rate
0,P,CAM5-GCM,0.13,43.9,44.02,-125.87,271.6,315.50,115.7,10.04,54.7,4,0.052,0.016,0.068,-6.69
1,P,CAM6-GCM,0.13,53.31,53.19,-120.26,271.11,324.43,108.72,11.67,51.2,3.8,0.049,0.018,0.067,-6.56
2,E,CM1,9.95,77.28,87.23,-129.23,276.8,354.09,111.83,7.45,54.9,4,0.056,0.085,0.141,-6.68
3,P,CNRM-CM6,1.27,28.85,27.58,-135.25,279.86,308.70,125.51,11.01,46.8,4.3,0.013,0.038,0.052,-6.69
4,E,DAM,10.6,76.46,65.86,-119.87,273.25,349.70,119.83,10.64,55.6,4.1,0.037,0.009,0.046,-6.87
5,P,ECHAM6-GCM,0.11,46.88,46.99,-134.12,284.45,331.33,115.73,18.27,49.2,4,0.048,0.01,0.058,-6.29
6,E,FV3,1.35,44.32,45.67,-123.13,277.07,321.39,112.54,9.24,47.2,3.9,0.052,0.021,0.073,NaN
7,P,GEOS-GCM,2.51,45.23,47.74,-141.58,290.5,335.73,130.93,8.14,45.3,4.6,0.047,0.011,0.058,-5.52
8,P,ICON-GCM,0.58,28.61,28.03,-132.3,287.9,316.51,116.7,16.18,43.4,4,0.061,0.04,0.101,-6.62
9,E,ICON-LEM-CRM,7.13,88.74,81.6,-97.46,251.65,340.38,94.78,9.81,53.5,3.3,0.032,0.022,0.054,-6.57
10,E,ICON-NWP-CRM,3.93,87.9,83.97,-77.5,242.64,330.53,72.58,8.86,45.2,2.5,0.034,0.03,0.064,-6.8
11,P,IPSL-CM6,0.88,39.88,39,-155.27,296.79,336.67,147.36,8.79,52,5.1,0.09,0.013,0.103,NaN
12,E,MESONH,0.51,69.1,69.62,-118.39,270.12,339.22,108.28,9.6,42.9,3.5,0.019,0.025,0.044,-7.1
13,E,MPAS,10.26,72.45,62.19,-110.91,276.51,348.96,112.74,8.43,45.7,3.9,0.057,0.078,0.135,-7.17
14,E,NICAM,38.5,63.81,25.31,-130.15,281.43,345.24,159.68,8.97,44.2,4.3,0.078,0.051,0.13,-6.55
15,P,SAM0-UNICON,0.06,31.93,32,-149.77,301.48,333.41,139.76,9.95,42.8,4.8,0.01,0.003,0.014,-6.34
16,E,SAM-CRM,8.26,60.66,52.4,-137.51,287.19,347.85,137.01,8.76,47,4.7,0.051,0.023,0.074,-6.52
17,E,SAM-GCRM,10.21,55.78,45.57,-141.07,287.57,343.35,142.44,8.83,49.3,4.9,0.086,0.026,0.112,-6.41
18,E,SCALE,7.08,76.98,69.9,-131.88,277.72,354.70,128.12,10.85,51.6,4.5,0.058,0.044,0.102,-6.96
19,P,SP-CAM,2.02,67.63,65.62,-114.92,264.54,332.18,108.38,8.57,52.7,3.7,0.07,0.035,0.104,-6.65
20,P,SPX-CAM,2.42,61.14,58.71,-123.35,267.02,328.16,117.77,8.01,55.2,4.1,0.073,0.033,0.106,-6.27
21,E,UCLA-CRM,4.41,35.16,39.57,-166.78,301.49,336.65,150.92,11.44,44,5.5,0.03,0.061,0.091,-5.81
22,P,UKMO-GA7.1,0.18,51.09,51.26,-150.01,289.15,340.24,145.15,4.68,51.3,5,0.041,0.018,0.058,-6.19
23,E,UKMO-CASIM,5.18,72.32,67.13,-118.17,264.16,336.48,115.02,8.34,64.8,3.6,0.033,0.138,0.171,-6.35
24,E,UKMO-RA1-T,1.06,64.16,63.11,-134.83,292.98,357.15,128.58,7.31,45.8,4.5,0.01,0.085,0.096,-6.13
25,E,UKMO-RA1-T-nocloud,2.73,63.16,60.43,-127.08,285.12,348.28,122.52,7.29,47.8,4.2,0.018,0.115,0.133,-6.28
26,E,WRF-COL-CRM,5.65,88.29,82.65,-118.55,258.59,346.89,117.51,6.69,62.5,4.1,0.017,0.013,0.03,-6.55
27,E,WRF-CRM,29.93,46.59,16.66,-123.3,265.85,312.44,118.05,35.18,59.8,3.9,0.089,0.087,0.175,-6.42
28,P,WRF-GCM-cps0,1.17,17.76,16.59,-143.62,281.64,299.40,131.24,13.55,48.4,4.6,0.085,0.007,0.092,-5.15
29,P,WRF-GCM-cps1,1.89,71.02,72.91,-142.21,277.71,348.73,134.62,5.7,60.7,4.8,0.013,0.009,0.022,-5.55
30,P,WRF-GCM-cps2,1.6,82.87,81.27,-130.45,272.53,355.40,125.71,6.34,55.1,4.3,0.004,0.011,0.015,-5.46
31,P,WRF-GCM-cps3,2.22,12.96,10.73,-144.38,281.48,294.44,132.62,13.98,49.3,4.7,0.091,0.007,0.098,-5.2
32,P,WRF-GCM-cps4,5.79,88.73,82.94,-124.53,271.51,360.24,125.64,4.68,53.7,4.2,0.002,0.008,0.01,-5.49
33,P,WRF-GCM-cps6,2.59,45.7,43.12,-143.62,282.02,327.73,144.49,1.72,56,5,0.061,0.007,0.068,-5.16
,,,,,,,,,,,,,,,,
,,STD,8.1,20.76,21.26,16.61,13.02,16.43,17,5.47,5.8,0.6,0.027,0.034,0.042,0.57
,,IQR,5.67,27.87,28.54,20.48,15.46,20.34,18.93,3.21,8.8,0.8,0.039,0.032,0.049,0.61
,,Mean,5.36,57.67,53.55,-129.92,277.69,335.36,124.07,9.97,50.9,4.2,0.046,0.035,0.081,-6.28
