,,Model,R_TOA,R_NET,OLR,ASR_TOA,LHF,SHF,PW,Precip.,LWP,IWP,clwvi_avg,Lapse Rate
0,P,CAM5-GCM,-24.01,-40.18,38.33,14.32,37.68,2.42,-0.1,1.3,0.007,0.003,0.01,0.43
1,P,CAM6-GCM,-26.58,-38.83,36.03,9.45,37.82,1.2,1.3,1.3,0.026,-0.01,0.016,0.44
2,E,CM1,-23.16,-23.43,27.5,4.34,20.11,0.74,-9.9,0.6,-0.006,-0.004,-0.009,0.47
3,P,CNRM-CM6,-19.41,-70.6,80.72,61.31,66.47,3.16,-15.6,2.3,-0.05,0.01,-0.04,0.56
4,E,DAM,-17.48,-17.04,14.28,-3.2,20.83,-0.32,-6.4,0.7,0.003,-0.001,0.002,0.2
5,P,GEOS-GCM,-41.41,-76.25,86.33,44.92,69.36,5.59,-13.3,2.5,-0.027,-0.022,-0.049,1.04
6,E,ICON-LEM-CRM,-16.88,-16.24,18.89,2.02,13.95,0.16,-6.9,0.5,-0.004,0.001,-0.003,0.14
7,E,ICON-NWP-CRM,-13.24,-12.36,11.86,-1.38,10,-0.04,-0.3,0.4,0.003,0.006,0.009,0.21
8,E,MESONH,-34.08,-29.29,37.69,3.61,26.69,1.12,-14.9,1.3,0.004,-0.01,-0.006,0.43
9,E,MPAS,-6.72,-12.57,1.6,-5.12,9.65,-2.78,4.5,0.3,0.01,-0.012,-0.002,0.33
10,E,SAM-CRM,-34.19,-33.1,38.8,4.61,38.22,-0.23,-17,1.3,0.009,-0.018,-0.009,0.55
11,E,SCALE,-20.8,-26.21,17.56,-3.24,29.14,-1.38,-1,1,0.009,-0.011,-0.002,0.4
12,E,UCLA-CRM,-46.68,-23.78,33.02,-13.66,25.52,2.74,-16.6,1.1,0.004,-0.012,-0.008,-1.61
13,P,UKMO-GA7.1,-56.62,-52.95,46.29,-10.32,53.8,-0.71,NaN,1.9,0.022,0.008,0.031,0.98
14,E,UKMO-CASIM,-15.5,1.2,-6.46,-21.95,1.94,2.44,7.8,-0.3,0.027,0.07,0.097,0.6
15,E,"UKMO-
RA1-T(L)-hrad(S)",-25.89,-22.01,28.08,2.2,23.08,3.26,-6.9,0.8,0.004,0.046,0.05,0.82
16,E,"UKMO-
RA1-T-nocloud",-28.85,-16.43,23.33,-5.51,17.43,3.45,-6.8,0.6,0.013,0.06,0.073,0.71
17,E,WRF-COL-CRM,-18.85,-14.36,15.24,-3.61,15.41,0.26,-8.5,0.6,0.001,0.004,0.005,0.18
18,E,WRF-CRM,-7.95,-9.53,14.39,6.44,16.17,3.55,-8.7,0.5,-0.005,0.016,0.011,-0.19
19,P,WRF-GCM-cps0,-46.61,-46.9,52.56,5.95,39.69,8.12,-16.8,1.4,-0.008,-0.013,-0.021,1.13
20,P,WRF-GCM-cps1,-34.74,-25.47,16.6,-18.14,20.48,-1.57,3.9,0.8,0.013,0.005,0.018,0.97
21,P,WRF-GCM-cps2,-27.46,-27.42,31.53,4.07,22.99,2.3,-13.9,0.8,0.004,-0.004,0.001,0.34
22,P,WRF-GCM-cps3,-21.45,-34.32,38.24,16.79,34.78,6.17,-9.5,1.2,-0.015,-0.004,-0.019,0.61
23,P,WRF-GCM-cps4,-9.76,-10.19,3.18,-6.59,12.37,-0.31,8.1,0.3,0.002,0.003,0.005,0.29
24,P,WRF-GCM-cps6,-32.01,-41.69,46.26,14.24,43.12,-4.4,-8.6,1.6,0.024,-0.009,0.015,0.76
,,,,,,,,,,,,,,
,,STD,12.63,18.58,21.90,17.72,17.05,2.83,7.9,0.6,0.017,0.023,0.031,0.53
,,IQR,16.60,22.59,23.09,11.56,21.65,3.47,13.2,0.7,0.014,0.016,0.023,0.42
,,Mean,-26.01,-28.80,30.07,4.06,28.27,1.40,-6.5,1.0,0.003,0.004,0.007,0.43
